author,updated_at,like_count,text,public
@JayMakinen,2024-03-21T01:37:46Z,1,This is amazing! No words,True
@1GlowingJar,2024-03-20T23:28:12Z,0,Looks like a druggie singing a song on the streets.,True
@BigPhatGreek,2024-03-20T22:43:58Z,1,Post we love you,True
@deborahcowger2536,2024-03-20T16:40:00Z,1,So naturally raw and real...love his amazing voice,True
@jeanalsamman4698,2024-03-20T14:58:26Z,0,"About the young girl fabulous guitar enthusiast , hopefully she will have the opportunity to learn more about music 🎵 because of the Driving forces to move or raise to a higher place or position; life’s up.,in melody 🎵 is exquisitely 🔥 lit.  🤩
Keep up the good humanitarian work with music art behind your heart and gratitude for your contribution towards music POST MALONE.  Honestly the girl fan is so lucky 🍀 and we love her to be there in the spotlight in the community to share and showcase her work talent in guitar solo 🎸 with her gift 🎁 from Post Malone.  I’d be honored for her to put on YouTube while she’s here inspiring us all with music.",True
@jeanalsamman4698,2024-03-20T14:57:58Z,0,"Post Malone, could and would you be able in creating songs notes that any musician could use with any musical instruments with your songs that you have played on your playlist ,albums . Possibly adding additional memories for die heart musicians that play instruments of any kind.

🤩✌️💥Post Malone, just a testament to the quality of your vibe in humanity for your life with artistic melody is defined as pure gold. I’m living in the future and going forward with your talented construction of amazement. I’m learning about music and your guidance is needed. Thanks for your epic music. It’s always new to the vibe.💯


❤️‍🔥🎼💯🎵Austin,Post, Molone is a Story teller, let me cheer it’s  pristine and stellar it gives me happiness right now,and it gives a memory later . Y’all

Elevate momentum 
Your  Ingenious Distinctive  work on it is assiduously  with the highest quality .  Spectacular job on the Hard work in music. I enjoy the spectacular ROCK SHIZAM STEAMING STAR because you’re in it. 💯🎼🎶🔥Music industry’s top talents. Post Molone, being  the teacherly force of one of a kind albums, is the indispensable member.  Post Malone  going big or go home , in it to win it mentally. 💯Keep going , keep growing 💯 Tranquility, peaceful wavelength of vibes. naturally formed .cutting edge,creative elegant arrangements with the strings quartet and band. 

Specifically speaking Austin tenaciously working with the conspicuous  musicians presented throughout his career POST MALONE your a curator of the articulated master performance 🎭 Phenomenal on stage to view up there when singing to his fans and the conspicuous  presented throughout his concert.",True
@DeAnnaLerud,2024-03-20T08:22:04Z,3,I feel so bad for him! He is literally screaming for help but no one seems to hear him. I feel your pain Post I’ve been there,True
@MaryJane-jt1ds,2024-03-20T07:38:14Z,0,It's really evident Posty is a Sweetheart Awwwe 💐🌹🕊🌹💝🌹🕊🌹💐,True
@MaryJane-jt1ds,2024-03-20T07:33:33Z,0,♾⚘🕊💜🙏💜🕊⚘♾,True
@ZuleicayazminHernandezfelix,2024-03-20T04:39:52Z,0,Wow I fall in love With him,True
@marie347,2024-03-19T23:46:47Z,0,Vous regalez monsieur post malone !!!❤,True
@xskyex5320,2024-03-18T09:54:57Z,1,I love all this. im disabled and fucked up all the time. upvote plz. hope i can get posty to my  town cuz i can't travel. prolly a lot of other people worse off them me but i still want it.,True
@xskyex5320,2024-03-18T08:19:48Z,1,posty. come to rawlins wyoming for a song or two! got can get you a good set.,True
@xskyex5320,2024-03-18T08:17:35Z,2,"bro this my fav song. drunk as fuck. maybe all of it. but this song and chemical, and too cool to die. my jams forever.",True
@RondonRamlal,2024-03-17T20:21:10Z,2,Never saw an artist so committed to his art like Post Malone. Your work is truly beautiful man. Thank you for sharing these amazing moments with the world!,True
@adriandavis7384,2024-03-17T17:00:17Z,1,Post Malone seems like a very good dude. He should pull a page from Bill Murray's book and have an open phone line and just go wherever he wants on a whim.,True
@Larissa-rose1,2024-03-17T05:35:07Z,1,😘😘😘😘,True
@tankhalffull,2024-03-16T14:45:04Z,24,"Old guy here.., nsadly, I had preconceived notions about this young man based on his appearance.., but damn! This guy is the real deal... just a boatload of talent...",True
@mcorriganuk,2024-03-15T20:35:17Z,1,I just can't stop watching this. So good!,True
@GageWienecke,2024-03-15T17:59:43Z,0,your voice is amazing you deserve to be famuse,True
@user-ml2br5jj8r,2024-03-15T14:39:10Z,1,This live version is much cooler than the album. don't know why,True
@erieljanetv7399,2024-03-15T13:25:44Z,0,❤,True
@MiaPerez-fv8zy,2024-03-15T12:46:33Z,0,Me march 15th,True
@alex-lb8el,2024-03-14T21:20:54Z,1,Listening to this album  at midnight in Kenya post you are a legend..Thanks for blessing us with your music.,True
@BER4L4I,2024-03-14T20:45:11Z,2,"9:25, I respect that. All in one shot means all in one shot, for better or for worst. Kudos Post 🔥",True
@Giggles915,2024-03-14T19:13:25Z,0,,True
@SuelyDias-cy8ri,2024-03-14T11:25:32Z,0,# Sultão  do Swing 😎😍👊👏👏👏👏👏👏👏👏👏👏👏👏👏👏👐👐👐👐👐👐👐👐👐👐👐👐👐👐👐❤💙💋,True
@SuelyDias-cy8ri,2024-03-14T11:24:07Z,0,😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍💅👀👂👅👽💚❤👊👏👐✌❤💙💋,True
@tonyaniggemeyer1249,2024-03-14T05:50:56Z,1,God bless Post Malone.,True
@austinkenney2580,2024-03-13T20:34:44Z,0,Does this happen to all Austin's?,True
@robertmahonsky3025,2024-03-13T08:30:40Z,2,He seriously doesn’t miss and damn can he perform on a stage.,True
@TheZigzach,2024-03-12T12:53:12Z,0,🤡 🎤,True
@BobiG1964,2024-03-12T06:29:01Z,1,"Damn, that's so amazingly good",True
@12dragons,2024-03-12T02:56:08Z,0,"Green thumb ain't me..,.

❤❤❤❤,.,..love The Melody 🎵🎶🔥🔥🔥💓💓💓🔥🔥💓🔥🔥💓🔥🔥🔥🙏🙏🙏❤️❤️❤️🙏",True
@12dragons,2024-03-12T02:54:32Z,1,"Speechless 😮

Overdrive ❤❤❤❤.,,..am in,,,.,

Hÿpñôtîc mode 🤦🙄🎶🎵😔 dear Lord,,.,

This song burst,,..burns me inside out 🔥🔥🔥🔥🔥💓💓💓💓💓💓💓",True
@rebeccajns,2024-03-11T20:52:51Z,1,❤❤❤❤❤❤❤❤❤,True
@fugitiverecoveryagent2972,2024-03-11T04:31:50Z,1,Love this,True
@babs2034,2024-03-10T02:41:18Z,0,*I WOULD TRADE MY LIFE JUST TO B IN PEACE* ........🥺💞🙏🙏🙏,True
@user-rg8th1kk7b,2024-03-10T02:02:54Z,0,Estas haciendo lo que te gusta. te Felicito. Lo haces GENIAL,True
@user-ff8fo5tv1j,2024-03-09T17:26:33Z,0,The best always 🎉👑❤️❤️❤️❤️❤️💋💋💋💋🌹🌹🌹🌹🌹🌹🌹🌹🌹,True
@user-ff8fo5tv1j,2024-03-09T17:18:44Z,0,So beautiful song 🎶❤🎵💎💎🎸🎤🔥🔥,True
@BallisticAbuse,2024-03-09T17:11:09Z,0,Mid. this isnt post malone going 100%. Mid,True
@sampreston200,2024-03-08T15:53:04Z,0,"Bravo to you Sir, Bravo.",True
@mateusmorais1751,2024-03-07T18:13:47Z,0,✌️🇧🇷🇧🇷,True
@spaceboyzone,2024-03-06T20:22:46Z,0,🎃🎄🥇 Post malone did a 50 score 50 skatebroad trick.,True
@quentinmagne6101,2024-03-06T02:17:15Z,0,"ce mec est l'un des rare génie de la musique de notre génération, les mélodies de c'est chanson sont unique très travailler, et une voix unique aussi",True
@anaandrade9210,2024-03-05T15:51:37Z,0,EU NAO CANSO DE ESCUTAR  ESSA MUSICA ❤❤❤❤❤❤❤❤❤,True
@user-dq4le3hk8d,2024-03-05T01:47:29Z,0,Dam amazing 👏 voice..!,True
@user-ow7em5dy6u,2024-03-04T05:46:33Z,4,I gotta say this album giving me chills,True
@stefaniyatagirova,2024-03-02T12:17:44Z,1,I was crying how amazing and emotional this performance is 🥺🥺🥺🥺🥺🥺love his art with all my existence,True
@hustleeveryday5852,2024-03-01T14:06:50Z,0,This song has a strong Oasis sound.,True
@glizzysantana649,2024-03-01T13:33:52Z,0,From white iverson to now 🙌🏾 this my favorite artist,True
@terisanameikam8318,2024-03-01T09:06:55Z,1,Post malone and Lana please,True
